id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
10-119,"as roughness of a surface increases , friction will increase",A cat finds it easiest to get a grip when climbing up,1,plastic pole,carpeted pole,icy pole,metal pole
10-120,December is during the winter in the northern hemisphere,"Miles above the equator, people from several faiths celebrate holidays in",0,cool months,eastern months,more months,warm months
10-122,an inclined plane is used for raising objects,A person needs to move a boulder from a crevice to a bluff. The person employs the use of,1,a fast car and a ball,a plank with one end raised,a small bowl of soup,a stick with a leaf
10-123,the Earth rotates on its axis on its axis,"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as",3,cartoons,forests,lunch,Christmas
10-126,living underground can be used for hiding from predators,"A mole can avoid being detected by hawks, owls and other predators by",2,moving slowly,setting traps,traveling beneath soil,building decoys
10-128,polluting means something poisonous is added to an environment causing harm to the environment,Factories often add something to the environment that is,3,helpful,productive,sanitizing,posionous
10-129,"as the amount of water received by a plant increases , that plant will usually grow",As the amount of water a plant receives increases what will usually happen with it?,3,diminish,shrinking,grow metal,expanded proportions
10-131,telephones convert sound energy into electrical energy,The diaphragms in the microphone and speaker convert sound energy into,1,light energy,low voltage electricity,back message,heat energy
10-132,the phases of the Moon change the appearance of the Moon,The moon looks different in different parts of,0,April,today,this week,2018
10-135,Earth 's surface is made of rock,"If the earth were small enough to put on a plate and serve up for dinner, the being eating it would get mouthfuls of",2,stew,towels,stone,corn
10-136,transpiration usually happens in the leaves of a plant,transpiration happens in the leaves of what?,1,rocks,shrubbery,cars,animals
10-137,a line graph is used for showing change over time,"A person wants to show that they have lost money with their business, and they want to show someone. They decide to use a graph that shows",3,more money,circled things,pictures of cats,ups and downs
10-138,the vanes rotating in an electric fan causes air to move,A fan pushes air with,2,forks,straw,rotating flat surface,lumber
10-139,the breaking down of food into simple substances occurs in the digestive system,People eating meals or snacks containing substances are further processed in the,2,reproductive system,burgers and fries,gastro tract,ocular department
10-140,the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,If you're in the North Pole the North Star may be visible when?,3,a weed,two months,a day,all year round
10-141,darkness has a negative impact on photosynthesis,How does darkness impact photosynthesis?,2,positively,increases absorption,very poorly,increases endurance
10-142,mammals give birth to live young,"Birds give birth to their babies while still in an egg. Mammals, however, give birth to their babies",1,scrambled,already alive,dead,Old
10-143,an organism 's environment affects that organism 's acquired characteristics,what affects an organisms acquired characteristics?,2,the moon,gravity,its immediate surroundings,birthday
10-144,sunlight produces heat,sunlight produces,2,darkness,wind,solar radiation,snow
10-145,soil is formed by rocks eroding,A field is tilled and soil is filled with nutrients after years of,2,bears eroding trees,the flu dissolving,stones being destroyed,corn burning up
10-146,the sun is the source of energy for physical cycles on Earth,Every single bit of growth and life on earth is connected to the power of,3,solar aliens,magic orbs,magic beans,daylight
10-147,magnifying glass is used to see small things by making objects appear bigger,"A lady needs to be able to confirm what very small text reads on her pill bottle, so a ______ is necessary.",2,microscope,telescope,magnifier,binoculars
10-148,a telescope is used for observing stars,A telescope is used to observe what?,0,heavenly bodies,star charts,animals,water
10-150,erosion causes deposition,Deposition is caused by what?,1,venus wind,forceful gales,airplanes,eroding mentalities
10-152,"as light pollution increases , seeing the stars will be harder",A quiet desert town will see more _____ than a big city will.,3,buildings,cars,people,stars
10-153,"as the surface area of a body of water increases , evaporation of that body of water will increase",As a body of waters surface area increases what else will increase?,0,vaporization,evaporating milk,coals,fires
10-156,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates","photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into what?",3,dirt,sunlight,mental energy,sugars
10-157,a living thing is made of cells,All living things are made of parts that contain a,2,blood vessel,heart,nucleus,skeleton
10-158,"as the sale of a product decreases , the amount of money made by the person selling that product will decrease",As ipod sale plummet apple reports major,0,loses,raises,firings,gains
10-159,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in what motion?,0,frontward,backward,downward,upward
10-160,if liquid is boiling then that liquid is hot,if liquid is changing its state to gas then that liquid is,3,slimy,cold,condensing,hot
10-163,a pulley is used for lifting objects,A pulley is used to do what with objects?,2,crush,cool,increase altitude,elevate significance
10-165,earthquakes cause rock layers to fold on top of each other,A place you would want to avoid that is prone to Earthquakes would be,2,Kansas,Alaska,Osaka,France
10-167,a compass is used to navigate oceans,A person using a compass can find their way when they are lost,3,in time,in play,in space,on water
10-168,cool temperatures cause animals to shiver,"A puppy is sitting in a yard and is at the door, asking to come in. A person looks out the door and sees the pup tremble, so the person can tell that",1,the dog is lonely,the temps have dropped,the puppy is happy,the pup is strong
10-169,Earth orbiting the Sun causes seasons to change,Earth orbiting what causes seasons to change?,2,mars,saturn,local star,sunlight
10-170,Matter in the liquid phase has variable shape,A person puts liquid matter in a glass and it,2,is hardened,evaporates immediately,is shaped similarly,melts the glass
10-172,a graduated cylinder is used to measure volume of an object,A person pours water into a cylinder in order to,1,touch it,observe it,taste it,make it
10-173,studying a soil sample means studying the microorganisms in that soil,studying a soil sample means studying the microorganisms in the,0,dirt,air,lava,water
10-175,the ocean contains large amounts of salt water,Sharks live in a liquid deluged with sodium chloride because it allows them to,1,form sharknadoes,have increased buoyancy,eat people,star in films
10-176,tearing an object changes that object 's shape,Tearing an object changes its what?,1,temperature,configuration,moistness,elements
10-177,a flower 's purpose is to produce seeds,Flowers provide substance for many animals like,3,Whales,Seals,Dolphins,squirrels
10-180,dairy is a source of Vitamin D,A person with a vitamin D deficiency who is allergic to sunlight could,3,look at pictures,drink more water,bathe more often,eat more cheese
10-181,volcanoes are often found under oceans,the ring of fire is made up of,1,kelp,immersed lava vents,marshmallows,ice formations
10-183,a greenhouse is used to protect plants from the cold,A greenhouse is used to protect plants from what?,1,nutrients,freezing winds,socializing,fresh air
10-184,an amphibian is cold-blooded,What animal is cold-blooded?,2,cats,dogs,tree hopper,rats
10-186,a mirror reflects light,Silver nitrate on hardened silicon will force light to,0,refract,scatter,become hot,dissipate
10-188,aluminum is recyclable,Cans can be taken to a place known as,1,the ocean,scrap yard,shot with BBs,buried
10-190,pollution is when humans pollute the environment with pollutants,One way humans may be polluting the Earth is,1,using solar energy,antibacterial soap,riding bikes,walking
10-191,wood is an electrical energy insulator,A person wanting to protect humans from electrocution through wire contact would wrap the wire in,3,a tin can barrier,a metal beam with steel,a copper rope with barbs,a log filled with sawdust
10-192,omnivores eat plants,Carnivores devour omnivores which eat,0,flora,rocks,crustaceans,sand
10-193,clouds produce rain,A storm rolls in and the skies are filled with dark clouds which,2,melt,flood,precipitate,scurry
10-196,electrical conduction is when metals conduct electricity through metal,Electrical conduction may occur when,2,a person takes a trip,a person gets a dog,a person presses a key to a socket,a person moves plastic into a car
10-197,"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves",A field of flowers has pollen filled flowers. The most likely thing to do the seed spread would be,3,striped falcons,human children,wild boars,avian creature
10-198,alternative fuel is usually a renewable resource,Alternative fuel is usually a renewable what?,3,sound,meal,drink,asset
10-199,live birth means developing inside the mother instead of an egg,Which of these use a womb instead of eggs for fetal development?,2,chickens,falcons,lemurs,hawks
10-201,sleet is made of ice,Sleet is,0,potentially dangerous,poison,hot,unhealthy
10-202,In the food chain process a green plant has the role of producer,Processes in the food chain begin with,0,leafy flora,purple horseshoes,yellow bees,breakfast
10-203,a car engine usually converts gasoline into motion and heat through combustion,A car converts gasoline into motion and heat through what?,2,explosive charisma,cooling,incineration,warming
10-204,"as the weight of an animal decreases , that animal will fly more easily","A crane starts off weighing thirty pounds, then later weighs twenty pounds. When travelling, the crane will fly",1,taller,better,slower,louder
10-206,skills are learned characteristics,A learned behavior is exhibited when a human displays that they can:,2,squinting in bright light,digesting food in the stomach,change a car tire,inhaling and exhaling during sleep
10-209,different organisms reproduce differently,Dogs reproduce differently from,3,bears,wolves,cats,earthworms
10-210,a light bulb requires electrical energy to produce light,A light bulb will be lit up if it is all aside from,1,turned on,on a shelf,connected to electricity,screwed in
10-212,contact between rocks over long periods of time causes rocks to smooth,A river rushes and pebbles are smacked around one another until,3,they are wet,they are clear,they are rough,they are velvety
10-215,pushing a button sometimes completes a circuit,A switch turns something on because:,1,electrons are made to excite,metal closes the circuit,the engine needs to run,the circuit is opened completely
10-217,limestone is formed by water evaporating from a solution of water and minerals,Limestone is formed by water evaporating from a solution of water and mineral and a hard sedimentary rock used as building material and for making,1,lipstick,cement,lemon-lime soda,mineral water
10-218,a berry contains seeds,A person who wants to eat a watermelon may consider spitting out its,0,dark pips,good taste,coco pebbles,red fruit
10-219,lizards eat insects,A boy wants to feed a gecko so he gives it,0,waxworms,dog food,chickens,markers
10-220,an animal requires enough nutrients to maintain good health,in order for an animal to stay healthy it needs to,0,consume enough food,exercise regularly,sleep long hours,reproduce
10-221,"as mileage per galon of gasoline increases , the amount of gasoline used will decrease","when fuel efficiency increases, gasoline use in cars will",3,stay the same,cause more windstorms,increase,decrease
10-223,evaporation causes amount of water to decrease,To see evaporation you can wrap,1,a metal in plastic,a bowl of water in plastic,a cat in a bag,money in plastic bags
10-226,organisms can be preserved in sedimentary rock,"A tortoise died many years ago, but it is easy to tell that what was left behind was from a tortoise because in the rock there are",1,muscles,skeletal system,organs,candy pieces
10-227,hypothesis means scientific guess about the cause and effect of an event,Examples of hypothesis is,3,September 11th was a terrorist attack,Rain falls from the sky,Fish swim in water,Drinking sugary drinks daily leads to obesity
10-230,the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the body,The circulatory system brings oxygen to the body from where?,1,brain,chest,hands,stomach
10-231,the earth has more mass than the moon,"In a contest to see which would win based on size and weight, the winner with more of both would be",1,moon,Earth,pebble,cat
10-232,a renewable resource can be replaced,A renewable resource you can find on Earth is,2,stars,Oil,sand clay,fossil fuels
10-233,the first quarter phase of the moon occurs after the new moon,"Shortly after the moon is in ecliptical longitude with the Sun, one will see",1,a waning crescent,a waxing crescent,a waning gibbous,a waxing gibbous
10-234,the moon does not contain water,A person in space will find a lack of something to drink if they land on,2,Mars,the earth,the moon,third planet
10-235,chlorophyll is used for absorbing light energy by plants,Chlorophyll is good for allowing plants to absorb energy and,3,is dry,is dead,is clear,is healthy
10-236,if an organism becomes too hot then that organism may die,"A man is at the beach and is napping in the sun. He falls into a deep sleep and forgets to wake up. After hours of this, he",2,may flood beaches,may make whiskey,may cease existence,may file lawsuit
10-237,electric devices require electrical energy to function,A computer needs what to be functional,1,money,positive ions,a mommy,youtube
10-238,cold environments contain few organisms,Places lacking warmth have few what,0,biological entities,biological weapons,cold entities,astronomical entities
10-239,cold environments contain few organisms,Several animals flourish in cold temperatures like,1,Lizards,Terns,Antelope,Kangaroos
10-240,a greenhouse is used to protect plants by keeping them warm,If an environment experiences harsh climates,1,plants will continue to flourish,ponds may dry up,tadpoles will mature faster into frogs,animals will experience a boom in reproduction
10-244,"as the available water in an environment increases , the populations of organisms in that environment will increase","A small creek becomes a rushing river after years of heavy rains in a particular location. In addition to the larger water source, there are also greater",1,rock fights,sheep herds,bunny rolls,speaking deer
10-247,an animal knows how to do instinctive behaviors when it is born,Knowing what to do without ever being taught is known as,2,learned,found,instinctive,given
10-250,a planet rotating causes cycles of day and night on that planet,An observer on Jupiter would encounter localized periods of,0,darkness and light,constant nuclear fission,supernovas,black holes
10-251,"when the needle of a compass lines up with Earth 's magnetic poles , the needle points north","when the needle of a compass lines up with Earth 's magnetic poles , the needle is",2,pointing east,pointing west,pointing at arctic,pointing to space
10-252,some birds live in forests,"A penguin, while a bird, would avoid living in",3,a cold pole,a zoo,a frozen habitat,a native forest
10-253,echo is when sound reflects off of a surface,Echo is when sound reflects off of what?,1,atmosphere,tables,surface winds,sunlight
10-255,evaporation is a stage in the water cycle process,In order to see water evaporate you could,0,make pasta,clean the windows,drink water,dry your hair
10-257,if an object is close then that object will appear large,If an object is close then how will that object appear?,0,gigantic,minute,small,tiny
10-258,An example of conservation is not using fossil fuel,Leaving remain oil supplies alone is a form of,0,conservation,deliberation,transportation,pollution
10-262,a bicycle contains screws,A bicycle may be used for,2,rain,cats,coffee grinding,elephants
10-265,an equinox occurs twice per year,A person may celebrate an equinox,3,biyearly,monthly,yearly,biannually
10-267,a tree growing a tree-growth ring occurs once per year,"A person cuts down their neighbor's tree without permission. The neighbor who lost the tree is upset, and sues for the cost of the tree, which depends on the age of the tree at the time of cutting. The tree age is determined by",3,size of branches,number of leaves,color of roots,number of circles
10-268,"as the amount of rain increases in an environment , available sunlight will decrease in that environment",What decreases in an environment as the amount of rain increases?,0,solar light,water,rivers,hydration
10-271,"as air pressure decreases , the chance of rain will increase","The pressure in air drops very low, so clouds",2,flood,sink,precipitate,melt
10-272,touch can be used for detecting texture,People can touch something to see if it's,3,shiny,red,striped,wrinkled
10-277,the Sun is the star that is closest to Earth,The Earth's primary source of both light and heat is,2,jupiter,the moon,a yellow dewarf,titan
10-278,heat can change the state of matter,The level of atom activity where it reaches a moment where the solid state becomes more loose overall is referred to?,2,smoothness,water fluid,liquidity,fluid transport
10-279,tectonic plates being pushed together causes earthquakes,"When certain things are shoved together enough, the earth will tremble and shake because of these",2,trail and error,water road,dirt collisions,wet trail
10-282,a dense forest environment is often dark in color,Aerial maps represent what feature using dark green?,2,the slopes of the Rocky Mountains,underwater ocean forests and coral,trees packed close together,The great northwestern plains
10-283,"as the size of a flower increases , the number of pollinators it will attract increases","As the flower size increases, what will it attract more of?",0,monarchs,grass,carnivores,toy butterfly
10-287,An example of camouflage is when something has the same color as its environment,What color is a stick bug?,0,brown,gray,green,black
10-288,An example of combining two substances is pouring one substance into the other substance,An example of a true combination of mixed substances is,2,corn with butter,sand and pebbles,cream and coffee,dirt and sand
10-289,oil is a source of energy,Which of the following will help my non-electric lawnmower run?,2,UV rays,a cloudy day,dinosaur remains,an AC current
10-290,a scar is an acquired characteristic,An acquired characteristic is,0,a jagged raised welt you've had since you fell down the stairs 6 years ago,freckles from your mom's genes,"brown, curly hair that resembles your sister's",a large nose just like your dad's
10-292,if something contains a large amount of magnetic material then that something will attract magnets,What would potentially be attracted to a magnet?,0,a zipper,a cat,a lightbulb,a bench
10-293,an ecosystem contains large numbers of living organisms in a particular place,Large metropolises can have a huge bedbug,3,sport team,water bill,dating pool,infestation
10-294,muscles pull bones to move the bones,Fibrous tissue contracts to,3,show for the ladies,rest and repair itself,get other muscles out of the way,stretch out an arm
10-296,a seismometer is used to measure the strength or magnitude of an earthquake,A seismometer will be able to tell someone,1,how wet a storm made the ground,how badly things were shaking,how loud a siren was,how fast a cheetah is
10-297,"as available water in an environment decreases , the amount of available food in that environment will decrease",A lack of water has a direct connection on the amount of available,1,shelters,sustenance,rainy days,mates
10-298,An example of migration is birds flying south in the winter,"Weather is getting a little more chilly, so a flock makes their way",0,elsewhere,north,Narnia,the moon
10-299,the length of the hair of an animal is an acquired characteristic,An example of an acquired characteristic is,1,the thickness of a horse's mane,the length of a horse's mane,the number of legs a horse has,the color of a horse's mane
10-300,the thickness of the parts of an organism is an inherited characteristic,Which is an inherited characteristic?,2,hair length,clothing style,bone thickness,language skills
10-301,moist means high in moisture,Foggy days are said to be,1,good for skin,high in moister,extremely dry,very sunny
10-302,a solution is made of one substance dissolved in another substance,Jerry put some salt into some tap water and stirred it up. What has Jerry made?,0,a solution,a battery,sea water,lemonade
10-304,fruit contains seeds,"Some fruits are berries and have _____ visible on the outside, but others have them on the inside",3,corn,songs,mice,kernels
10-305,an island is formed by lava cooling on the ocean floor over time,A new island springs up out of the ocean after only a couple of years of,0,underwater buildup,animal testing,volcanic movies,millionaire ideas
10-306,high temperatures can cause an object to combust,Which of these objects could combust,3,Seashells,Grass,A cat,A paint can
10-308,"when an electrical circuit is working properly , electrical current runs through the wires in that circuit",When a light switch is turned on,2,brilliant sparks arc along the wall,the light colors are switched with the dark colors,ions are pushed along a copper wire,a cat in a box of poison dies
10-309,the surface of the Moon contains mountains,What can be found on the lunar surface and has been there for thousands or millions of years?,0,mountains,cheese,the lunar rover,large lakes
10-310,if an object reflects light toward the eye then that object can be seen,What does an object need to reflect towards the eye to be seen?,0,lamp glow,water,light rain,wind
10-311,mechanical weathering is when rocks are broken down by mechanical means,"A rock is boring, so a person wants to make it look different. A person could have it weathered by",3,putting it in a bag,putting it in a yard,putting it in a dish,putting it in a tumbler
10-312,skidding causes speed to decrease,Slamming the breaks in a car will,1,make the car speed,quickly bring the speed down,turn on it's radio,open all the doors
10-314,An example of protecting the environment is creating protected areas,"A person owns thousands of acres of land and would like to do something great for the environment, so he",0,limits human access,limits animal access,builds a mall,starts a riot
10-315,if one mineral can scratch another mineral then that other mineral is softer than that one mineral,If one mineral can scratch another then the scratched mineral is what?,3,strong,soft spoken,potent,mushy
10-316,tidal energy can be used to produce electricity,Tidal motion can be used to,0,activate turbines on shore,rock you to sleep,smash waves on rocks,light a dark pathway
10-317,the circulatory system brings oxygen from the lungs to the rest of the body,The circulatory system is so long it,0,could be wrapped around the earth,is the length of a horse,is the length of the universe,is the length of the universe
10-321,decomposer is a kind of role in an ecosystem,"A pile of mulch is broken down and when searching for the culprit, a gardener notes",0,wriggling organisms,writing organisms,large trees,wild fires
10-322,fire gives off light,"A person is in the forest, lost. They need to signal to others that they are there, and their voice is gone, so they need to do it inaudibly. The person may signal with",0,fire,rain,leaves,ducks
10-324,reproduction occurs during adulthood,A person is celebrating a new baby and family is happily celebrating as well. The family is glad that the person who had the baby is,3,a corpse,a child,a monster,an adult
10-325,"as the number of eggs laid by an animal increases , the number of eggs that hatch will increase",Which animal produces more eggs,0,African Driver Ant,Humans,Monkeys,Goats
10-328,"as an object moves , the kinetic energy of that object will increase","When an object moves, how will its kinetic energy be affected?",2,lower,reduced,escalate,lessen
10-329,condensing causes a liquid to form,A bucket of hot water has steam rolling off of it. The steam collects on the sides of the bucket and,2,melts,fries,pools,glows
10-331,plant requires seed dispersal for reproduction,We can thank the sloth and its feces for giving us,0,guacamole dip,bacteria on lettuce,funny Youtube videos,brown rice
10-332,if an object reflects a light of a certain color then the object appears to be that color,What is the most sensible reason why a stove is often just white?,0,it scatters all photons away from it without absorbing any,a chef specified white makes food cook better,it was black until someone scrubbed all the blood off it and it turned white,confining a stove to any specific color is color-shaming and indicates white  privilege
10-333,completing a circuit causes electricity to flow through that circuit,A light can be turned on if the,0,circuit is complete,light is unplugged,house is destroyed,power is out
10-336,a pollutions standard is a kind of standard for reducing pollutants emitted by factories,A clean air act must be followed by a,1,web design course,hard drive manufacturer,math class,computer programming course
10-341,vibrating matter can produce sound,A rod that is wobbling from being struck with a stick will,2,be sold,be silent,be audible,be frozen
10-342,chemical splashing sometimes occurs during experiments,Why might you want to wear safety goggles while working in a lab?,1,Safety goggle give you x-ray vision,Caustic liquid man-made substances can fly up,They protect your eyes from the sun,Mosquitoes are a problem
10-343,Earth 's magnetic patterns are used for finding locations by animals that migrate,"A goose needs to move to warmer states for the winter. Leaving its summer home, it heads out without a map, because it can always find the right way by using",1,the World's great patterns,the Earth's magnetic patterns,a map it buys later on,a compass that points north
10-344,having food has a positive impact on an organism 's health,If I wanted to get energy what could I do?,0,Eat a cucumber,Go running,Eat dust,Go swimming
10-345,the Great Lakes were formed by glaciers moving over the ground,giant walls of froze H2O carved out,2,the great plains,the pacific ocean,the great lakes,the grand canyon
10-347,the Earth absorbs more energy than it loses,The Earth may lose a million parts of energy each day but,2,it loses more,it has less,it gains more,it is soft
10-349,mice live in in holes in the ground in fields,Mice live in holes where?,0,pastureland,lakes,oceans,skyscrapers
10-350,the mantle is located just below Earth 's crust,Just below the Earth's crust is something that sounds like it should be over a,3,window,house,door,fireplace
10-351,seconds are used to measure time,"A student waiting for class to be over, in the last minute until the bell rings",2,watches a UFO,works at factories,counts down portions,sleeps at home
10-352,insects can have a negative impact on crops,Locusts historically always affect crops,1,in the sky,disadvantageously,near water,positively
10-353,insects can have a negative impact on crops,A farmer's potato crop all dies and is gone to waste. The farmer looks in the field closely and can tell that the crops were destroyed by,3,Jupiter,all,flowers,bugs
10-354,An example of a chemical change is acid breaking down substances,A chemical change is likely to happen in which body part?,0,stomach,heart,leg,ear
10-355,if a living thing dies then that living thing is dead,An organism passes from the world and so it,0,has croaked,has money,has health,has flown
10-356,camouflage is used for hiding by animals against predators,A toad would have better hiding places,2,on a house rooftop,in a glass bottle,on a forest floor,with a parachute skydiving
10-357,sand dunes are made of sand,Sand dunes are made of,2,nitrogen rich top soil,giant hills of tiny beads,the raw materiel that makes glass,small groups of parasites
10-358,the moon 's surface contains highlands,The moon's surface,0,features of variety of landscape features,is covered completely in water,is 100% flat and smooth,is 100% covered in asteroid created craters
10-361,coral lives in the ocean,Where would you be most likely to observe the most diverse of all marine ecosystems?,1,The Sahara Desert,off Australia's shore,silicon valley,Pacific Northwest
10-362,plant cells can perform photosynthesis,What can perform photosynthesis?,3,animals,people,water,shrubs
10-365,some animals shed fur in warm weather,what sheds fur in warm weather?,0,A Great Dane,a lizard,a bird,a fish
10-366,the moon rising occurs once per day,the moon rising occurs,2,once in a decade,4 times a year,7 times a week,1 time a month
10-367,the stars in the night sky are very far away from the Earth,A shuttle quest to Earth's light source would take lots of,3,muscle and time,navigation and speed,speed and light,fuel and time
10-368,a plant requires photosynthesis to grow,Flora requires chlorophyll to,1,moonlight,undergo natural development,starlight,dairy
10-369,"as the level of water rises , the amount of available land will decrease",A pond is in the middle of a back yard. There are heavy rains and the pond swells and floods. The pond now  _______ of the yard.,3,takes up very little,takes up almost zero,takes up a smaller minority,takes up a greater portion
10-370,remora fish eat food by attaching themselves to sharks and eating the food left behind,A creature that sometimes attaches to sharks is,1,another shark,a ray-finned fish,a jellyfish,a turtle
10-371,if an object is blue then that object reflects only blue light,A blue colored item will only reflect,3,all colors in the spectrum,only the color white,a combination of colors,an exact matching color
10-375,beads of water are formed by water vapor condensing,"Above a stove, where a pot of water boils, is a hood. The steam from the pot rises to the hood and",0,gathers up,burns up dry,freezes solid,makes zero sense
10-379,an organism requires energy for growth,a carpenter ant requires energy for,2,studying,yoga,growth,patience
10-380,a pulley is used to lift a flag on a flagpole,A simple pulley example could be,3,Going running on a treadmill,Swimming lap in a pool,Riding a bike outside,pulling water from a well
10-381,An example of a change in the Earth is an ocean becoming a wooded area,A large body of salty water drying up is responsible for the creation of the,0,salt flats,salt water taffy,Rocky mountains,ocean winds
10-382,"as the supply of food in an environment decreases , the population of animals in that environment will decrease","A squirrel eats all of the acorns in a tree. The tree is empty, and the squirrel is still hungry, so",1,the squirrel studies,the squirrel leaves,the squirrel breeds,the squirrel flies
10-383,humans cause pollution,One way humans cause pollution,3,using solar energy,walking outside,riding a bike,using antibacterial soap
10-385,erosion causes a river to become deeper and wider,How does erosion impact a river?,0,enlargening,warming,heightening,shrinking
10-386,if an object is kicked then force is exerted on that object,Which activity involves exerting force on an object with a foot?,1,basketball,kickball,softball,volleyball
10-387,a beach ball contains gas,A person wants to play with a beach ball at the beach so they fill it with,2,water,paper,gas,food
10-389,some lizards live in desert habitats,Desert lizards may sometimes appear as,1,buildings,rock particles,trees,cement
10-391,one day is equal to 24 hours,Twenty four hours contains one,2,high tide,4 million seconds,solar cycle,week
10-392,new land can be formed by volcanoes erupting by lava cooling,One way new land can be formed is by,1,growing it in transplanting it,having molten rock cool above sea level,creating a dam around a body of water,cooling burned plants with water
10-393,a new season occurs once per three months,"If it's been twelve weeks since you put on shorts, and you notice today the hours of light and dark are just about equal, how long will it be until Winter?",1,just over a year,around thirteen weeks or so,when G.R.R. Martin says it's here,when the groundhog sees its shadow
10-394,all animals breathe,"If an organism is a living thing, it will always",1,cry,respirate,do magic,walk a rope
10-395,algae is found in bodies of water,Which place are we likely to find algae?,1,white clouds in the sky,a small hidden puddle,an old tall building,a field of grass
10-396,if a habitat is removed then that habitat is destroyed,A skin bacterium loses its habitat when,0,you cut off your finger nails,you eat pepperoni pizza,you brush your teeth,you blow your nose
10-397,wind is used for producing electricity,A large turbine in a field can produce electricity to power devices when,0,a breeze is floating,a child is crying,a dog is barking,clouds are very thin
10-398,wind causes erosion,What causes erosion?,1,paper,gales,wood,money
10-399,a phase change is when matter changes from one state into another state,All the water vanishes from a small depression basked in sunlight on a paved road because of,1,freezing,evaporation,condensation,precipitation
10-400,sound can travel through air,audible vibrations can travel freely through,1,a brick,nitrogen and oxygen,the ground,a mountain
10-401,fat is used to keep animals warm,An animal needing to be warmer could,1,starve,eat more,go out,diet
10-403,if weather is stormy then there is a greater chance of rain,If weather is stormy there is a greater chance of what?,2,drought,waterfalls,sky water,fire
10-404,the heart is mostly made of muscle,Which recyclable body part is largely comprised of muscle,0,the ticker,the spleen,the kidney,the liver
10-406,living things all require energy for survival,"If a thing is living, it will require",3,noxious foods for illness,energetic mutation of limbs,a source of happiness,a source of nutriment
10-407,natural gas is a source of heat by burning,What's a good way to heat up inside after ice skating on a frozen lake?,3,Put on a swimming suit,set fire to some snow,run a cool bath,set fire to some natural gas
10-409,water is a renewable resource,Water is a recyclable,0,commodity,lubricant,revenue,treasure
10-410,if a hot substance is touches a cold object then that substance will likely cool,What kind of substance will get less warm when it touches a cold object?,3,a dream,ideas,cold,fresh baked poptart
10-414,planting trees has a positive impact on an ecosystem,"A person wants their yard to be a wonderful ecosystem for local wildlife. They consider doing a few things in order to facilitate this, but ultimately decide that the best way to make a great impact is to",2,make some more money,plant a wet rope,plant a blue spruce,sing to their flowers
10-415,precipitation is when water falls from the sky,"A person wants to take their dog to the park as long as there is a lack of precipitation that day. After checking the weather channel, plans are canceled when it is announced that it will",1,be sunny,sprinkle,be humid,be windy
10-416,gravity causes orbits,Invisible forces work to keep the moon near the,3,sun,uranus,mars,our home planet
10-417,crop rotation renews soil,What does crop rotation renew?,2,plants,loans,loam,water
10-418,water vapor cooling causes that water vapor to condense,Water vapor cooling causes it to what?,2,electrify,warm up,deliquesce,smell
10-419,smoking causes direct damage to the lungs,smoking will directly affect what?,2,hearing loss,sleep,intensity of cough,hunger
10-420,"when a hurricane moves over land , that hurricane will decrease in strength","As it travels further into a land mass, what looses power?",0,a violent disturbance of the atmosphere with high winds,ideas in print media,a large jet engine,a gas guzzling automobile
10-428,"as depth increases , pressure will increase","A person is going to explore in the ocean and sees that when they get down to a darker part,",1,there is more sunlight,there is more weight on them,there is more salt,there is more booze
10-429,landfills have a negative impact on the environment,What goes to a place that has a negative impact on the environment?,0,garbage trucks,trains,mail trucks,motorcycles
10-430,refraction is when light bends,"A person turns a flashlight on and points it at a cut stone, which results in",1,flower patterns,varied hues,varied light scents,sizes of elephants
10-432,animals learn some behaviors from watching their parents,A puppy was uneducated on how to go through a doggy door until,0,the mom did it,it read how to,it went to school,it made a plan
10-434,tearing means changing a whole into pieces,A book experiences tearing so it,0,has lost status as whole,lacks any real mass,is completely intact now,is a whole book
10-435,electrical devices convert electricity into other forms of energy,A radio that takes batteries can make that energy into,3,fire,video,water,sound
10-436,gravitational force causes objects that have mass to be pulled down on a planet,Gravitational force never affects,2,balloons,stars,sunshine,air
10-437,if a living thing becomes too cold then that living thing will die,What happens to a living thing if it becomes too cold?,0,pass away,joy,increased energy,warmth
10-438,"as the amount of fragrance of a flower increases , the number of pollinators it will attract increases",As a flower becomes more aromatic it will bring in a growing crowd of,2,lazy tourists,leaf miners,pollinators,caterpillars
10-439,hawks eat lizards,What do hawks eat?,1,lizard droppings,bearded dragons,cows,grass
10-440,the condition of the parts of an organism are acquired characteristics,"A puppy has a kink in his tail, but he lacked it yesterday. The puppy ______ a broken tail.",3,inherited,absorbed,wanted,acquired
10-441,the arctic environment is cold in temperature from being at a northern lattitude below 0 degrees celsius during most of the year,Who would find an arctic environment most pleasant?,1,iguanas,parka squirrels,tiger sharks,Burmese pythons
10-443,predators eat prey,Which animal eats prey?,0,beetle,horse,rabbit,buffalo
